"Reference.Area","year","variable","value"
"Falkirk","2009","household-size",2.24
"Fife","2009","household-size",2.21
"Glasgow City","2009","household-size",2
"Highland","2009","household-size",2.24
"Inverclyde","2009","household-size",2.16
"Midlothian","2009","household-size",2.36
"Moray","2009","household-size",2.31
"North Ayrshire","2009","household-size",2.19
"North Lanarkshire","2009","household-size",2.3
"Orkney Islands","2009","household-size",2.18
"Perth and Kinross","2009","household-size",2.17
"Renfrewshire","2009","household-size",2.13
"Scottish Borders","2009","household-size",2.17
"Shetland Islands","2009","household-size",2.31
"South Ayrshire","2009","household-size",2.18
"South Lanarkshire","2009","household-size",2.25
"Stirling","2009","household-size",2.27
"West Dunbartonshire","2009","household-size",2.16
"West Lothian","2009","household-size",2.36
"Aberdeen City","2010","household-size",2.05
"Aberdeenshire","2010","household-size",2.39
"Angus","2010","household-size",2.21
"Argyll and Bute","2010","household-size",2.13
"City of Edinburgh","2010","household-size",2.05
"Clackmannanshire","2010","household-size",2.21
"Dumfries and Galloway","2010","household-size",2.2
"Dundee City","2010","household-size",2.04
"East Ayrshire","2010","household-size",2.25
"East Dunbartonshire","2010","household-size",2.41
"East Lothian","2010","household-size",2.28
"East Renfrewshire","2010","household-size",2.43
"Eilean Siar","2010","household-size",2.2
"Falkirk","2010","household-size",2.24
"Fife","2010","household-size",2.21
"Glasgow City","2010","household-size",2.01
"Highland","2010","household-size",2.24
"Inverclyde","2010","household-size",2.15
"Midlothian","2010","household-size",2.34
"Moray","2010","household-size",2.3
"North Ayrshire","2010","household-size",2.19
"North Lanarkshire","2010","household-size",2.3
"Orkney Islands","2010","household-size",2.18
"Perth and Kinross","2010","household-size",2.18
"Renfrewshire","2010","household-size",2.13
"Scottish Borders","2010","household-size",2.15
"Shetland Islands","2010","household-size",2.31
"South Ayrshire","2010","household-size",2.17
"South Lanarkshire","2010","household-size",2.24
"Stirling","2010","household-size",2.28
"West Dunbartonshire","2010","household-size",2.14
"West Lothian","2010","household-size",2.35
"Aberdeen City","2011","household-size",2.07
"Aberdeenshire","2011","household-size",2.39
"Angus","2011","household-size",2.22
"Argyll and Bute","2011","household-size",2.14
"City of Edinburgh","2011","household-size",2.07
"Clackmannanshire","2011","household-size",2.22
"Dumfries and Galloway","2011","household-size",2.2
"Dundee City","2011","household-size",2.05
"East Ayrshire","2011","household-size",2.25
"East Dunbartonshire","2011","household-size",2.4
"East Lothian","2011","household-size",2.28
"East Renfrewshire","2011","household-size",2.42
"Eilean Siar","2011","household-size",2.17
"Falkirk","2011","household-size",2.24
"Fife","2011","household-size",2.22
"Glasgow City","2011","household-size",2.02
"Highland","2011","household-size",2.24
"Inverclyde","2011","household-size",2.14
"Midlothian","2011","household-size",2.35
"Moray","2011","household-size",2.28
"North Ayrshire","2011","household-size",2.19
"North Lanarkshire","2011","household-size",2.29
"Orkney Islands","2011","household-size",2.17
"Perth and Kinross","2011","household-size",2.19
"Renfrewshire","2011","household-size",2.13
"Scottish Borders","2011","household-size",2.15
"Shetland Islands","2011","household-size",2.31
"South Ayrshire","2011","household-size",2.17
"South Lanarkshire","2011","household-size",2.23
"Stirling","2011","household-size",2.28
"West Dunbartonshire","2011","household-size",2.14
"West Lothian","2011","household-size",2.36
"Aberdeen City","2012","household-size",2.08
"Aberdeenshire","2012","household-size",2.39
"Angus","2012","household-size",2.2
"Argyll and Bute","2012","household-size",2.09
"City of Edinburgh","2012","household-size",2.08
"Clackmannanshire","2012","household-size",2.2
"Dumfries and Galloway","2012","household-size",2.18
"Dundee City","2012","household-size",2.06
"East Ayrshire","2012","household-size",2.24
"East Dunbartonshire","2012","household-size",2.4
"East Lothian","2012","household-size",2.28
"East Renfrewshire","2012","household-size",2.41
"Eilean Siar","2012","household-size",2.13
"Falkirk","2012","household-size",2.24
"Fife","2012","household-size",2.21
"Glasgow City","2012","household-size",2.03
"Highland","2012","household-size",2.22
"Inverclyde","2012","household-size",2.13
"Midlothian","2012","household-size",2.34
"Moray","2012","household-size",2.24
"North Ayrshire","2012","household-size",2.18
"North Lanarkshire","2012","household-size",2.28
"Orkney Islands","2012","household-size",2.16
"Perth and Kinross","2012","household-size",2.2
"Renfrewshire","2012","household-size",2.13
"Scottish Borders","2012","household-size",2.13
"Shetland Islands","2012","household-size",2.28
"South Ayrshire","2012","household-size",2.16
"South Lanarkshire","2012","household-size",2.22
"Stirling","2012","household-size",2.29
"West Dunbartonshire","2012","household-size",2.13
"West Lothian","2012","household-size",2.36
"Aberdeen City","2013","household-size",2.08
"Aberdeenshire","2013","household-size",2.38
"Angus","2013","household-size",2.19
"Argyll and Bute","2013","household-size",2.09
"City of Edinburgh","2013","household-size",2.08
"Clackmannanshire","2013","household-size",2.19
"Dumfries and Galloway","2013","household-size",2.16
"Dundee City","2013","household-size",2.06
"East Ayrshire","2013","household-size",2.22
"East Dunbartonshire","2013","household-size",2.39
"East Lothian","2013","household-size",2.28
"East Renfrewshire","2013","household-size",2.41
"Eilean Siar","2013","household-size",2.09
"Falkirk","2013","household-size",2.24
"Fife","2013","household-size",2.21
"Glasgow City","2013","household-size",2.03
"Highland","2013","household-size",2.19
"Inverclyde","2013","household-size",2.12
"Midlothian","2013","household-size",2.33
"Moray","2013","household-size",2.26
"North Ayrshire","2013","household-size",2.16
"North Lanarkshire","2013","household-size",2.27
"Orkney Islands","2013","household-size",2.15
"Perth and Kinross","2013","household-size",2.18
"Renfrewshire","2013","household-size",2.1
"Scottish Borders","2013","household-size",2.13
"Shetland Islands","2013","household-size",2.27
"South Ayrshire","2013","household-size",2.16
"South Lanarkshire","2013","household-size",2.21
"Stirling","2013","household-size",2.28
"West Dunbartonshire","2013","household-size",2.12
"West Lothian","2013","household-size",2.35
"Aberdeen City","2014","household-size",2.09
"Aberdeenshire","2014","household-size",2.38
"Angus","2014","household-size",2.19
"Argyll and Bute","2014","household-size",2.09
"City of Edinburgh","2014","household-size",2.08
"Clackmannanshire","2014","household-size",2.16
"Dumfries and Galloway","2014","household-size",2.15
"Dundee City","2014","household-size",2.05
"East Ayrshire","2014","household-size",2.22
"East Dunbartonshire","2014","household-size",2.38
"East Lothian","2014","household-size",2.28
"East Renfrewshire","2014","household-size",2.41
"Eilean Siar","2014","household-size",2.08
"Falkirk","2014","household-size",2.24
"Fife","2014","household-size",2.19
"Glasgow City","2014","household-size",2.03
"Highland","2014","household-size",2.17
"Inverclyde","2014","household-size",2.1
"Midlothian","2014","household-size",2.33
"Moray","2014","household-size",2.24
"North Ayrshire","2014","household-size",2.15
"North Lanarkshire","2014","household-size",2.26
"Orkney Islands","2014","household-size",2.13
"Perth and Kinross","2014","household-size",2.19
"Renfrewshire","2014","household-size",2.09
"Scottish Borders","2014","household-size",2.12
"Shetland Islands","2014","household-size",2.27
"South Ayrshire","2014","household-size",2.14
"South Lanarkshire","2014","household-size",2.19
"Stirling","2014","household-size",2.27
"West Dunbartonshire","2014","household-size",2.1
"West Lothian","2014","household-size",2.34
"Aberdeen City","2015","household-size",2.1
"Aberdeenshire","2015","household-size",2.37
"Angus","2015","household-size",2.17
"Argyll and Bute","2015","household-size",2.06
"City of Edinburgh","2015","household-size",2.1
"Clackmannanshire","2015","household-size",2.16
"Dumfries and Galloway","2015","household-size",2.14
"Dundee City","2015","household-size",2.06
"East Ayrshire","2015","household-size",2.21
"East Dunbartonshire","2015","household-size",2.36
"East Lothian","2015","household-size",2.28
"East Renfrewshire","2015","household-size",2.41
"Eilean Siar","2015","household-size",2.06
"Falkirk","2015","household-size",2.22
"Fife","2015","household-size",2.19
"Glasgow City","2015","household-size",2.03
"Highland","2015","household-size",2.16
"Inverclyde","2015","household-size",2.09
"Midlothian","2015","household-size",2.33
"Moray","2015","household-size",2.24
"North Ayrshire","2015","household-size",2.13
"North Lanarkshire","2015","household-size",2.25
"Orkney Islands","2015","household-size",2.12
"Perth and Kinross","2015","household-size",2.18
"Renfrewshire","2015","household-size",2.07
"Scottish Borders","2015","household-size",2.11
"Shetland Islands","2015","household-size",2.25
"South Ayrshire","2015","household-size",2.14
"South Lanarkshire","2015","household-size",2.18
"Stirling","2015","household-size",2.28
"West Dunbartonshire","2015","household-size",2.09
"West Lothian","2015","household-size",2.33
"Aberdeen City","2016","household-size",2.07
"Aberdeenshire","2016","household-size",2.35
"Angus","2016","household-size",2.16
"Argyll and Bute","2016","household-size",2.06
"City of Edinburgh","2016","household-size",2.11
"Clackmannanshire","2016","household-size",2.15
"Dumfries and Galloway","2016","household-size",2.13
"Dundee City","2016","household-size",2.05
"East Ayrshire","2016","household-size",2.21
"East Dunbartonshire","2016","household-size",2.36
"East Lothian","2016","household-size",2.28
"East Renfrewshire","2016","household-size",2.42
"Eilean Siar","2016","household-size",2.05
"Falkirk","2016","household-size",2.22
"Fife","2016","household-size",2.19
"Glasgow City","2016","household-size",2.04
"Highland","2016","household-size",2.15
"Inverclyde","2016","household-size",2.07
"Midlothian","2016","household-size",2.32
"Moray","2016","household-size",2.24
"North Ayrshire","2016","household-size",2.12
"North Lanarkshire","2016","household-size",2.24
"Orkney Islands","2016","household-size",2.11
"Perth and Kinross","2016","household-size",2.18
"Renfrewshire","2016","household-size",2.07
"Scottish Borders","2016","household-size",2.11
"Shetland Islands","2016","household-size",2.24
"South Ayrshire","2016","household-size",2.14
"South Lanarkshire","2016","household-size",2.18
"Stirling","2016","household-size",2.29
"West Dunbartonshire","2016","household-size",2.09
"West Lothian","2016","household-size",2.33
"Aberdeen City","2008","businesses-count",9330
"Aberdeenshire","2008","businesses-count",13115
"Angus","2008","businesses-count",4125
"Argyll and Bute","2008","businesses-count",4640
"City of Edinburgh","2008","businesses-count",19035
"Clackmannanshire","2008","businesses-count",1285
"Dundee City","2008","businesses-count",3985
"East Ayrshire","2008","businesses-count",3465
"East Dunbartonshire","2008","businesses-count",2840
"East Lothian","2008","businesses-count",2935
"East Renfrewshire","2008","businesses-count",2345
"Eilean Siar","2008","businesses-count",1270
"Falkirk","2008","businesses-count",3995
"Glasgow City","2008","businesses-count",19770
"Inverclyde","2008","businesses-count",1925
"Midlothian","2008","businesses-count",2340
"Moray","2008","businesses-count",3605
"North Ayrshire","2008","businesses-count",3610
"North Lanarkshire","2008","businesses-count",7690
"Orkney Islands","2008","businesses-count",1625
"Perth and Kinross","2008","businesses-count",6800
"Renfrewshire","2008","businesses-count",5030
"Scottish Borders","2008","businesses-count",5725
"Shetland Islands","2008","businesses-count",1460
"South Ayrshire","2008","businesses-count",4110
"South Lanarkshire","2008","businesses-count",9190
"Stirling","2008","businesses-count",4250
"West Dunbartonshire","2008","businesses-count",1990
"West Lothian","2008","businesses-count",4890
"Aberdeen City","2009","businesses-count",9485
"Aberdeenshire","2009","businesses-count",13320
"Angus","2009","businesses-count",4125
"Argyll and Bute","2009","businesses-count",4610
"City of Edinburgh","2009","businesses-count",18790
"Clackmannanshire","2009","businesses-count",1285
"Dundee City","2009","businesses-count",3975
"East Ayrshire","2009","businesses-count",3420
"East Dunbartonshire","2009","businesses-count",2885
"East Lothian","2009","businesses-count",2995
"East Renfrewshire","2009","businesses-count",2360
"Eilean Siar","2009","businesses-count",1285
"Falkirk","2009","businesses-count",4005
"Glasgow City","2009","businesses-count",19875
"Inverclyde","2009","businesses-count",1895
"Midlothian","2009","businesses-count",2320
"Moray","2009","businesses-count",3615
"North Ayrshire","2009","businesses-count",3620
"North Lanarkshire","2009","businesses-count",7670
"Orkney Islands","2009","businesses-count",1590
"Perth and Kinross","2009","businesses-count",6760
"Renfrewshire","2009","businesses-count",5050
"Scottish Borders","2009","businesses-count",5725
"Shetland Islands","2009","businesses-count",1425
"South Ayrshire","2009","businesses-count",4095
"South Lanarkshire","2009","businesses-count",9200
"Stirling","2009","businesses-count",4260
"West Dunbartonshire","2009","businesses-count",1990
"West Lothian","2009","businesses-count",4865
"Aberdeen City","2010","businesses-count",9555
"Aberdeenshire","2010","businesses-count",13570
"Angus","2010","businesses-count",4160
"Argyll and Bute","2010","businesses-count",4515
"City of Edinburgh","2010","businesses-count",18880
"Clackmannanshire","2010","businesses-count",1270
"Dundee City","2010","businesses-count",3960
"East Ayrshire","2010","businesses-count",3365
"East Dunbartonshire","2010","businesses-count",2915
"East Lothian","2010","businesses-count",3020
"East Renfrewshire","2010","businesses-count",2430
"Eilean Siar","2010","businesses-count",1260
"Falkirk","2010","businesses-count",4025
"Glasgow City","2010","businesses-count",19985
"Inverclyde","2010","businesses-count",1865
"Midlothian","2010","businesses-count",2320
"Moray","2010","businesses-count",3630
"North Ayrshire","2010","businesses-count",3560
"North Lanarkshire","2010","businesses-count",7640
"Orkney Islands","2010","businesses-count",1600
"Perth and Kinross","2010","businesses-count",6740
"Renfrewshire","2010","businesses-count",5070
"Scottish Borders","2010","businesses-count",5660
"Shetland Islands","2010","businesses-count",1440
"South Ayrshire","2010","businesses-count",4050
"South Lanarkshire","2010","businesses-count",9245
"Stirling","2010","businesses-count",4230
"West Dunbartonshire","2010","businesses-count",2005
"West Lothian","2010","businesses-count",4885
"Aberdeen City","2011","businesses-count",9805
"Aberdeenshire","2011","businesses-count",13800
"Angus","2011","businesses-count",4130
"Argyll and Bute","2011","businesses-count",4465
"City of Edinburgh","2011","businesses-count",18850
"Clackmannanshire","2011","businesses-count",1245
"Dundee City","2011","businesses-count",3885
"East Ayrshire","2011","businesses-count",3325
"East Dunbartonshire","2011","businesses-count",2900
"East Lothian","2011","businesses-count",3010
"East Renfrewshire","2011","businesses-count",2400
"Eilean Siar","2011","businesses-count",1210
"Falkirk","2011","businesses-count",4015
"Glasgow City","2011","businesses-count",19820
"Inverclyde","2011","businesses-count",1840
"Midlothian","2011","businesses-count",2310
"Moray","2011","businesses-count",3585
"North Ayrshire","2011","businesses-count",3460
"North Lanarkshire","2011","businesses-count",7595
"Orkney Islands","2011","businesses-count",1575
"Perth and Kinross","2011","businesses-count",6620
"Renfrewshire","2011","businesses-count",4990
"Scottish Borders","2011","businesses-count",5550
"Shetland Islands","2011","businesses-count",1455
"South Ayrshire","2011","businesses-count",4000
"South Lanarkshire","2011","businesses-count",9115
"Stirling","2011","businesses-count",4225
"West Dunbartonshire","2011","businesses-count",1990
"West Lothian","2011","businesses-count",4835
"Aberdeen City","2012","businesses-count",10340
"Aberdeenshire","2012","businesses-count",14280
"Angus","2012","businesses-count",4240
"Argyll and Bute","2012","businesses-count",4570
"City of Edinburgh","2012","businesses-count",19380
"Clackmannanshire","2012","businesses-count",1265
"Dundee City","2012","businesses-count",3990
"East Ayrshire","2012","businesses-count",3410
"East Dunbartonshire","2012","businesses-count",3015
"East Lothian","2012","businesses-count",3120
"East Renfrewshire","2012","businesses-count",2535
"Eilean Siar","2012","businesses-count",1270
"Falkirk","2012","businesses-count",4130
"Glasgow City","2012","businesses-count",20335
"Inverclyde","2012","businesses-count",1915
"Midlothian","2012","businesses-count",2355
"Moray","2012","businesses-count",3640
"North Ayrshire","2012","businesses-count",3560
"North Lanarkshire","2012","businesses-count",7895
"Orkney Islands","2012","businesses-count",1595
"Perth and Kinross","2012","businesses-count",6740
"Renfrewshire","2012","businesses-count",5080
"Scottish Borders","2012","businesses-count",5640
"Shetland Islands","2012","businesses-count",1495
"South Ayrshire","2012","businesses-count",4055
"South Lanarkshire","2012","businesses-count",9360
"Stirling","2012","businesses-count",4330
"West Dunbartonshire","2012","businesses-count",2050
"West Lothian","2012","businesses-count",4950
"Aberdeen City","2013","businesses-count",10665
"Aberdeenshire","2013","businesses-count",14560
"Angus","2013","businesses-count",4235
"Argyll and Bute","2013","businesses-count",4490
"City of Edinburgh","2013","businesses-count",19605
"Clackmannanshire","2013","businesses-count",1225
"Dundee City","2013","businesses-count",4015
"East Ayrshire","2013","businesses-count",3380
"East Dunbartonshire","2013","businesses-count",2975
"East Lothian","2013","businesses-count",3205
"East Renfrewshire","2013","businesses-count",2575
"Eilean Siar","2013","businesses-count",1270
"Falkirk","2013","businesses-count",4185
"Glasgow City","2013","businesses-count",20290
"Inverclyde","2013","businesses-count",1895
"Midlothian","2013","businesses-count",2380
"Moray","2013","businesses-count",3640
"North Ayrshire","2013","businesses-count",3520
"North Lanarkshire","2013","businesses-count",7925
"Orkney Islands","2013","businesses-count",1570
"Perth and Kinross","2013","businesses-count",6700
"Renfrewshire","2013","businesses-count",5050
"Scottish Borders","2013","businesses-count",5560
"Shetland Islands","2013","businesses-count",1525
"South Ayrshire","2013","businesses-count",4000
"South Lanarkshire","2013","businesses-count",9405
"Stirling","2013","businesses-count",4280
"West Dunbartonshire","2013","businesses-count",2045
"West Lothian","2013","businesses-count",5005
"Aberdeen City","2014","businesses-count",11300
"Aberdeenshire","2014","businesses-count",15055
"Angus","2014","businesses-count",4350
"Argyll and Bute","2014","businesses-count",4535
"City of Edinburgh","2014","businesses-count",20535
"Clackmannanshire","2014","businesses-count",1290
"Dumfries and Galloway","2014","businesses-count",7405
"Dundee City","2014","businesses-count",4160
"East Ayrshire","2014","businesses-count",3465
"East Dunbartonshire","2014","businesses-count",3135
"East Lothian","2014","businesses-count",3290
"East Renfrewshire","2014","businesses-count",2705
"Eilean Siar","2014","businesses-count",1305
"Falkirk","2014","businesses-count",4355
"Fife","2014","businesses-count",10560
"Glasgow City","2014","businesses-count",21125
"Highland","2014","businesses-count",10000
"Inverclyde","2014","businesses-count",1950
