"Reference.Area","year","variable","value"
"Eilean Siar","2005","population",26930
"Falkirk","2005","population",150130
"Fife","2005","population",355450
"Glasgow City","2005","population",569240
"Highland","2005","population",135025
"Inverclyde","2005","population",82680
"Midlothian","2005","population",80050
"Moray","2005","population",82853
"North Ayrshire","2005","population",136690
"North Lanarkshire","2005","population",327140
"Orkney Islands","2005","population",20070
"Perth and Kinross","2005","population",138060
"Renfrewshire","2005","population",171430
"Scottish Borders","2005","population",110250
"Shetland Islands","2005","population",22250
"South Ayrshire","2005","population",112030
"South Lanarkshire","2005","population",306850
"Stirling","2005","population",79200.5
"West Dunbartonshire","2005","population",91530
"West Lothian","2005","population",165010
"Aberdeen City","2006","population",209620
"Aberdeenshire","2006","population",241180
"Angus","2006","population",112500
"Argyll and Bute","2006","population",77179.5
"City of Edinburgh","2006","population",452060
"Clackmannanshire","2006","population",49540
"Dumfries and Galloway","2006","population",149780
"Dundee City","2006","population",143370
"East Ayrshire","2006","population",120450
"East Dunbartonshire","2006","population",105590
"East Lothian","2006","population",82259.5
"East Renfrewshire","2006","population",89750
"Eilean Siar","2006","population",27060
"Falkirk","2006","population",151090
"Fife","2006","population",357260
"Glasgow City","2006","population",568480
"Highland","2006","population",136516.75
"Inverclyde","2006","population",82320
"Midlothian","2006","population",80000
"Moray","2006","population",83482.5
"North Ayrshire","2006","population",136790
"North Lanarkshire","2006","population",328740
"Orkney Islands","2006","population",20340
"Perth and Kinross","2006","population",139390
"Renfrewshire","2006","population",171270
"Scottish Borders","2006","population",110860
"Shetland Islands","2006","population",22210
"South Ayrshire","2006","population",112100
"South Lanarkshire","2006","population",308450
"Stirling","2006","population",79709.5
"West Dunbartonshire","2006","population",91420
"West Lothian","2006","population",167110
"Aberdeen City","2007","population",212460
"Aberdeenshire","2007","population",244390
"Angus","2007","population",113540
"Argyll and Bute","2007","population",77171
"City of Edinburgh","2007","population",456040
"Clackmannanshire","2007","population",50600
"Dumfries and Galloway","2007","population",150370
"Dundee City","2007","population",143700
"East Ayrshire","2007","population",120950
"East Dunbartonshire","2007","population",105050
"East Lothian","2007","population",83881.5
"East Renfrewshire","2007","population",89840
"Eilean Siar","2007","population",27210
"Falkirk","2007","population",152320
"Fife","2007","population",358750
"Glasgow City","2007","population",571760
"Highland","2007","population",138113
"Inverclyde","2007","population",82110
"Midlothian","2007","population",80370
"Moray","2007","population",84186
"North Ayrshire","2007","population",137420
"North Lanarkshire","2007","population",331170
"Orkney Islands","2007","population",20580
"Perth and Kinross","2007","population",141140
"Renfrewshire","2007","population",171860
"Scottish Borders","2007","population",112200
"Shetland Islands","2007","population",22350
"South Ayrshire","2007","population",112380
"South Lanarkshire","2007","population",310380
"Stirling","2007","population",79969
"West Dunbartonshire","2007","population",91370
"West Lothian","2007","population",169470
"Aberdeen City","2008","population",214020
"Aberdeenshire","2008","population",246840
"Angus","2008","population",114490
"Argyll and Bute","2008","population",76568.5
"City of Edinburgh","2008","population",458520
"Clackmannanshire","2008","population",51190
"Dumfries and Galloway","2008","population",151010
"Dundee City","2008","population",144290
"East Ayrshire","2008","population",121590
"East Dunbartonshire","2008","population",104940
"East Lothian","2008","population",85363.5
"East Renfrewshire","2008","population",89870
"Eilean Siar","2008","population",27280
"Falkirk","2008","population",153290
"Fife","2008","population",360050
"Glasgow City","2008","population",576200
"Highland","2008","population",139415.75
"Inverclyde","2008","population",82000
"Midlothian","2008","population",81540
"Moray","2008","population",85593.5
"North Ayrshire","2008","population",137910
"North Lanarkshire","2008","population",333290
"Orkney Islands","2008","population",20740
"Perth and Kinross","2008","population",143130
"Renfrewshire","2008","population",172640
"Scottish Borders","2008","population",113360
"Shetland Islands","2008","population",22480
"South Ayrshire","2008","population",112610
"South Lanarkshire","2008","population",311320
"Stirling","2008","population",80142
"West Dunbartonshire","2008","population",91190
"West Lothian","2008","population",171380
"Aberdeen City","2009","population",217020
"Aberdeenshire","2009","population",249020
"Angus","2009","population",114830
"Argyll and Bute","2009","population",76188
"City of Edinburgh","2009","population",463240
"Clackmannanshire","2009","population",51290
"Dumfries and Galloway","2009","population",151160
"Dundee City","2009","population",145170
"East Ayrshire","2009","population",122110
"East Dunbartonshire","2009","population",104960
"East Lothian","2009","population",86083
"East Renfrewshire","2009","population",89980
"Eilean Siar","2009","population",27420
"Falkirk","2009","population",154210
"Fife","2009","population",361410
"Glasgow City","2009","population",581620
"Highland","2009","population",140138.25
"Inverclyde","2009","population",81670
"Midlothian","2009","population",81900
"Moray","2009","population",85872
"North Ayrshire","2009","population",137830
"North Lanarkshire","2009","population",335160
"Orkney Islands","2009","population",20940
"Perth and Kinross","2009","population",144370
"Renfrewshire","2009","population",173020
"Scottish Borders","2009","population",113590
"Shetland Islands","2009","population",22790
"South Ayrshire","2009","population",112490
"South Lanarkshire","2009","population",312180
"Stirling","2009","population",80368.5
"West Dunbartonshire","2009","population",91080
"West Lothian","2009","population",173040
"Aberdeen City","2010","population",219730
"Aberdeenshire","2010","population",251430
"Angus","2010","population",115410
"Argyll and Bute","2010","population",75622.5
"City of Edinburgh","2010","population",469940
"Clackmannanshire","2010","population",51330
"Dumfries and Galloway","2010","population",151100
"Dundee City","2010","population",146060
"East Ayrshire","2010","population",122410
"East Dunbartonshire","2010","population",104920
"East Lothian","2010","population",86949
"East Renfrewshire","2010","population",90410
"Eilean Siar","2010","population",27600
"Falkirk","2010","population",155140
"Fife","2010","population",362610
"Glasgow City","2010","population",586500
"Highland","2010","population",140898.25
"Inverclyde","2010","population",81510
"Midlothian","2010","population",82360
"Moray","2010","population",86348
"North Ayrshire","2010","population",137790
"North Lanarkshire","2010","population",336280
"Orkney Islands","2010","population",21220
"Perth and Kinross","2010","population",145600
"Renfrewshire","2010","population",173700
"Scottish Borders","2010","population",113690
"Shetland Islands","2010","population",23060
"South Ayrshire","2010","population",112600
"South Lanarkshire","2010","population",313180
"Stirling","2010","population",81142
"West Dunbartonshire","2010","population",90800
"West Lothian","2010","population",174090
"Aberdeen City","2011","population",222460
"Aberdeenshire","2011","population",253650
"Angus","2011","population",116200
"Argyll and Bute","2011","population",75666
"City of Edinburgh","2011","population",477940
"Clackmannanshire","2011","population",51500
"Dumfries and Galloway","2011","population",151410
"Dundee City","2011","population",147200
"East Ayrshire","2011","population",122690
"East Dunbartonshire","2011","population",105000
"East Lothian","2011","population",87773
"East Renfrewshire","2011","population",90810
"Eilean Siar","2011","population",27690
"Falkirk","2011","population",156250
"Fife","2011","population",365300
"Glasgow City","2011","population",593060
"Highland","2011","population",142002.75
"Inverclyde","2011","population",81220
"Midlothian","2011","population",83450
"Moray","2011","population",86079
"North Ayrshire","2011","population",138090
"North Lanarkshire","2011","population",337720
"Orkney Islands","2011","population",21420
"Perth and Kinross","2011","population",146850
"Renfrewshire","2011","population",174700
"Scottish Borders","2011","population",113880
"Shetland Islands","2011","population",23240
"South Ayrshire","2011","population",112980
"South Lanarkshire","2011","population",313900
"Stirling","2011","population",81894.5
"West Dunbartonshire","2011","population",90610
"West Lothian","2011","population",175300
"Aberdeen City","2012","population",224970
"Aberdeenshire","2012","population",255540
"Angus","2012","population",116210
"Argyll and Bute","2012","population",74429.5
"City of Edinburgh","2012","population",482640
"Clackmannanshire","2012","population",51280
"Dumfries and Galloway","2012","population",150830
"Dundee City","2012","population",147800
"East Ayrshire","2012","population",122720
"East Dunbartonshire","2012","population",105880
"East Lothian","2012","population",88602.5
"East Renfrewshire","2012","population",91030
"Eilean Siar","2012","population",27560
"Falkirk","2012","population",156800
"Fife","2012","population",366220
"Glasgow City","2012","population",595080
"Highland","2012","population",141610
"Inverclyde","2012","population",80680
"Midlothian","2012","population",84240
"Moray","2012","population",85561.5
"North Ayrshire","2012","population",137560
"North Lanarkshire","2012","population",337870
"Orkney Islands","2012","population",21530
"Perth and Kinross","2012","population",147740
"Renfrewshire","2012","population",174310
"Scottish Borders","2012","population",113710
"Shetland Islands","2012","population",23210
"South Ayrshire","2012","population",112910
"South Lanarkshire","2012","population",314360
"Stirling","2012","population",82394
"West Dunbartonshire","2012","population",90340
"West Lothian","2012","population",175990
"Aberdeen City","2013","population",227130
"Aberdeenshire","2013","population",257740
"Angus","2013","population",116240
"Argyll and Bute","2013","population",74965
"City of Edinburgh","2013","population",487500
"Clackmannanshire","2013","population",51280
"Dumfries and Galloway","2013","population",150270
"Dundee City","2013","population",148170
"East Ayrshire","2013","population",122440
"East Dunbartonshire","2013","population",105860
"East Lothian","2013","population",89001.5
"East Renfrewshire","2013","population",91500
"Eilean Siar","2013","population",27400
"Falkirk","2013","population",157140
"Fife","2013","population",366910
"Glasgow City","2013","population",596550
"Highland","2013","population",141891
"Inverclyde","2013","population",80310
"Midlothian","2013","population",84700
"Moray","2013","population",86953.5
"North Ayrshire","2013","population",136920
"North Lanarkshire","2013","population",337730
"Orkney Islands","2013","population",21570
"Perth and Kinross","2013","population",147750
"Renfrewshire","2013","population",173900
"Scottish Borders","2013","population",113870
"Shetland Islands","2013","population",23200
"South Ayrshire","2013","population",112850
"South Lanarkshire","2013","population",314850
"Stirling","2013","population",82529.5
"West Dunbartonshire","2013","population",89810
"West Lothian","2013","population",176140
"Aberdeen City","2014","population",228990
"Aberdeenshire","2014","population",260500
"Angus","2014","population",116660
"Argyll and Bute","2014","population",74568
"City of Edinburgh","2014","population",492680
"Clackmannanshire","2014","population",51190
"Dumfries and Galloway","2014","population",149940
"Dundee City","2014","population",148260
"East Ayrshire","2014","population",122150
"East Dunbartonshire","2014","population",106730
"East Lothian","2014","population",89649
"East Renfrewshire","2014","population",92380
"Eilean Siar","2014","population",27250
"Falkirk","2014","population",157640
"Fife","2014","population",367260
"Glasgow City","2014","population",599650
"Highland","2014","population",141867
"Inverclyde","2014","population",79860
"Midlothian","2014","population",86210
"Moray","2014","population",87312
"North Ayrshire","2014","population",136450
"North Lanarkshire","2014","population",337950
"Orkney Islands","2014","population",21590
"Perth and Kinross","2014","population",148880
"Renfrewshire","2014","population",174230
"Scottish Borders","2014","population",114030
"Shetland Islands","2014","population",23230
"South Ayrshire","2014","population",112510
"South Lanarkshire","2014","population",315360
"Stirling","2014","population",82822
"West Dunbartonshire","2014","population",89730
"West Lothian","2014","population",177150
"Aberdeen City","2005","road-vehicles",97
"Aberdeenshire","2005","road-vehicles",186
"Angus","2005","road-vehicles",71
"Argyll and Bute","2005","road-vehicles",60
"City of Edinburgh","2005","road-vehicles",230
"Clackmannanshire","2005","road-vehicles",20
"Dumfries and Galloway","2005","road-vehicles",165
"Dundee City","2005","road-vehicles",65
"East Ayrshire","2005","road-vehicles",80
"East Dunbartonshire","2005","road-vehicles",42
"East Lothian","2005","road-vehicles",63
"East Renfrewshire","2005","road-vehicles",60
"Eilean Siar","2005","road-vehicles",12
"Falkirk","2005","road-vehicles",110
"Fife","2005","road-vehicles",188
"Glasgow City","2005","road-vehicles",264
"Highland","2005","road-vehicles",172
"Inverclyde","2005","road-vehicles",37
"Midlothian","2005","road-vehicles",45
"Moray","2005","road-vehicles",48
"North Ayrshire","2005","road-vehicles",53
"North Lanarkshire","2005","road-vehicles",236
"Orkney Islands","2005","road-vehicles",8
"Perth and Kinross","2005","road-vehicles",176
"Renfrewshire","2005","road-vehicles",104
"Scottish Borders","2005","road-vehicles",79
"Shetland Islands","2005","road-vehicles",12
"South Ayrshire","2005","road-vehicles",68
"South Lanarkshire","2005","road-vehicles",201
"Stirling","2005","road-vehicles",82
"West Dunbartonshire","2005","road-vehicles",44
"West Lothian","2005","road-vehicles",118
"Aberdeen City","2006","road-vehicles",103
"Aberdeenshire","2006","road-vehicles",198
"Angus","2006","road-vehicles",77
"Argyll and Bute","2006","road-vehicles",62
"City of Edinburgh","2006","road-vehicles",232
"Clackmannanshire","2006","road-vehicles",20
"Dumfries and Galloway","2006","road-vehicles",168
"Dundee City","2006","road-vehicles",67
"East Ayrshire","2006","road-vehicles",79
"East Dunbartonshire","2006","road-vehicles",42
"East Lothian","2006","road-vehicles",64
"East Renfrewshire","2006","road-vehicles",54
"Eilean Siar","2006","road-vehicles",13
"Falkirk","2006","road-vehicles",115
"Fife","2006","road-vehicles",195
"Glasgow City","2006","road-vehicles",269
"Highland","2006","road-vehicles",178
"Inverclyde","2006","road-vehicles",38
"Midlothian","2006","road-vehicles",47
"Moray","2006","road-vehicles",50
"North Ayrshire","2006","road-vehicles",55
"North Lanarkshire","2006","road-vehicles",242
"Orkney Islands","2006","road-vehicles",9
"Perth and Kinross","2006","road-vehicles",180
"Renfrewshire","2006","road-vehicles",107
"Scottish Borders","2006","road-vehicles",82
"Shetland Islands","2006","road-vehicles",13
"South Ayrshire","2006","road-vehicles",70
"South Lanarkshire","2006","road-vehicles",207
"Stirling","2006","road-vehicles",86
"West Dunbartonshire","2006","road-vehicles",45
"West Lothian","2006","road-vehicles",120
"Aberdeen City","2007","road-vehicles",101
"Aberdeenshire","2007","road-vehicles",200
"Angus","2007","road-vehicles",77
"Argyll and Bute","2007","road-vehicles",62
"City of Edinburgh","2007","road-vehicles",237
"Clackmannanshire","2007","road-vehicles",21
"Dumfries and Galloway","2007","road-vehicles",175
"Dundee City","2007","road-vehicles",69
"East Ayrshire","2007","road-vehicles",79
"East Dunbartonshire","2007","road-vehicles",44
"East Lothian","2007","road-vehicles",66
"East Renfrewshire","2007","road-vehicles",56
"Eilean Siar","2007","road-vehicles",13
"Falkirk","2007","road-vehicles",118
"Fife","2007","road-vehicles",200
"Glasgow City","2007","road-vehicles",273
"Highland","2007","road-vehicles",182
"Inverclyde","2007","road-vehicles",39
"Midlothian","2007","road-vehicles",48
"Moray","2007","road-vehicles",51
"North Ayrshire","2007","road-vehicles",55
"North Lanarkshire","2007","road-vehicles",246
"Orkney Islands","2007","road-vehicles",9
"Perth and Kinross","2007","road-vehicles",184
"Renfrewshire","2007","road-vehicles",108
"Scottish Borders","2007","road-vehicles",84
"Shetland Islands","2007","road-vehicles",13
"South Ayrshire","2007","road-vehicles",72
"South Lanarkshire","2007","road-vehicles",211
"Stirling","2007","road-vehicles",88
"West Dunbartonshire","2007","road-vehicles",45
"West Lothian","2007","road-vehicles",123
"Aberdeen City","2008","road-vehicles",101
"Aberdeenshire","2008","road-vehicles",198
"Angus","2008","road-vehicles",78
"Argyll and Bute","2008","road-vehicles",62
"City of Edinburgh","2008","road-vehicles",234
"Clackmannanshire","2008","road-vehicles",21
"Dumfries and Galloway","2008","road-vehicles",174
"Dundee City","2008","road-vehicles",69
"East Ayrshire","2008","road-vehicles",78
"East Dunbartonshire","2008","road-vehicles",43
"East Lothian","2008","road-vehicles",64
"East Renfrewshire","2008","road-vehicles",57
"Eilean Siar","2008","road-vehicles",13
"Falkirk","2008","road-vehicles",117
"Fife","2008","road-vehicles",198
"Glasgow City","2008","road-vehicles",273
"Highland","2008","road-vehicles",181
"Inverclyde","2008","road-vehicles",38
"Midlothian","2008","road-vehicles",48
"Moray","2008","road-vehicles",51
"North Ayrshire","2008","road-vehicles",55
"North Lanarkshire","2008","road-vehicles",246
"Orkney Islands","2008","road-vehicles",9
"Perth and Kinross","2008","road-vehicles",180
"Renfrewshire","2008","road-vehicles",109
"Scottish Borders","2008","road-vehicles",83
"Shetland Islands","2008","road-vehicles",13
"South Ayrshire","2008","road-vehicles",71
"South Lanarkshire","2008","road-vehicles",209
"Stirling","2008","road-vehicles",87
"West Dunbartonshire","2008","road-vehicles",45
"West Lothian","2008","road-vehicles",124
"Aberdeen City","2009","road-vehicles",96
"Aberdeenshire","2009","road-vehicles",193
"Angus","2009","road-vehicles",76
"Argyll and Bute","2009","road-vehicles",61
"City of Edinburgh","2009","road-vehicles",234
"Clackmannanshire","2009","road-vehicles",21
"Dumfries and Galloway","2009","road-vehicles",166
"Dundee City","2009","road-vehicles",67
"East Ayrshire","2009","road-vehicles",78
"East Dunbartonshire","2009","road-vehicles",43
"East Lothian","2009","road-vehicles",62
"East Renfrewshire","2009","road-vehicles",56
"Eilean Siar","2009","road-vehicles",13
"Falkirk","2009","road-vehicles",115
"Fife","2009","road-vehicles",195
"Glasgow City","2009","road-vehicles",267
"Highland","2009","road-vehicles",182
"Inverclyde","2009","road-vehicles",37
"Midlothian","2009","road-vehicles",47
"Moray","2009","road-vehicles",51
"North Ayrshire","2009","road-vehicles",54
"North Lanarkshire","2009","road-vehicles",241
"Orkney Islands","2009","road-vehicles",9
"Perth and Kinross","2009","road-vehicles",176
"Renfrewshire","2009","road-vehicles",106
"Scottish Borders","2009","road-vehicles",82
"Shetland Islands","2009","road-vehicles",13
"South Ayrshire","2009","road-vehicles",71
"South Lanarkshire","2009","road-vehicles",206
"Stirling","2009","road-vehicles",85
"West Dunbartonshire","2009","road-vehicles",45
"West Lothian","2009","road-vehicles",121
"Aberdeen City","2010","road-vehicles",95
"Aberdeenshire","2010","road-vehicles",190
"Angus","2010","road-vehicles",76
"Argyll and Bute","2010","road-vehicles",60
"City of Edinburgh","2010","road-vehicles",227
"Clackmannanshire","2010","road-vehicles",21
"Dumfries and Galloway","2010","road-vehicles",165
"Dundee City","2010","road-vehicles",66
"East Ayrshire","2010","road-vehicles",76
"East Dunbartonshire","2010","road-vehicles",42
"East Lothian","2010","road-vehicles",61
"East Renfrewshire","2010","road-vehicles",55
"Eilean Siar","2010","road-vehicles",13
"Falkirk","2010","road-vehicles",113
"Fife","2010","road-vehicles",191
"Glasgow City","2010","road-vehicles",262
"Highland","2010","road-vehicles",180
"Inverclyde","2010","road-vehicles",36
"Midlothian","2010","road-vehicles",46
"Moray","2010","road-vehicles",50
"North Ayrshire","2010","road-vehicles",53
"North Lanarkshire","2010","road-vehicles",236
"Orkney Islands","2010","road-vehicles",9
"Perth and Kinross","2010","road-vehicles",172
"Renfrewshire","2010","road-vehicles",103
"Scottish Borders","2010","road-vehicles",81
"Shetland Islands","2010","road-vehicles",12
"South Ayrshire","2010","road-vehicles",70
"South Lanarkshire","2010","road-vehicles",202
"Stirling","2010","road-vehicles",84
"West Dunbartonshire","2010","road-vehicles",44
"West Lothian","2010","road-vehicles",120
"Aberdeen City","2011","road-vehicles",93
"Aberdeenshire","2011","road-vehicles",186
"Angus","2011","road-vehicles",75
"Argyll and Bute","2011","road-vehicles",59
"City of Edinburgh","2011","road-vehicles",223
"Clackmannanshire","2011","road-vehicles",21
"Dumfries and Galloway","2011","road-vehicles",163
"Dundee City","2011","road-vehicles",65
"East Ayrshire","2011","road-vehicles",75
"East Dunbartonshire","2011","road-vehicles",41
"East Lothian","2011","road-vehicles",60
"East Renfrewshire","2011","road-vehicles",54
"Eilean Siar","2011","road-vehicles",13
"Falkirk","2011","road-vehicles",112
"Fife","2011","road-vehicles",189
"Glasgow City","2011","road-vehicles",261
"Highland","2011","road-vehicles",178
"Inverclyde","2011","road-vehicles",35
"Midlothian","2011","road-vehicles",46
"Moray","2011","road-vehicles",49
"North Ayrshire","2011","road-vehicles",53
"North Lanarkshire","2011","road-vehicles",229
"Orkney Islands","2011","road-vehicles",9
"Perth and Kinross","2011","road-vehicles",173
"Renfrewshire","2011","road-vehicles",102
"Scottish Borders","2011","road-vehicles",80
"Shetland Islands","2011","road-vehicles",12
"South Ayrshire","2011","road-vehicles",69
"South Lanarkshire","2011","road-vehicles",198
"Stirling","2011","road-vehicles",82
"West Dunbartonshire","2011","road-vehicles",44
"West Lothian","2011","road-vehicles",118
"Aberdeen City","2012","road-vehicles",92
"Aberdeenshire","2012","road-vehicles",183
"Angus","2012","road-vehicles",74
"Argyll and Bute","2012","road-vehicles",58
"City of Edinburgh","2012","road-vehicles",219
"Clackmannanshire","2012","road-vehicles",20
"Dumfries and Galloway","2012","road-vehicles",161
"Dundee City","2012","road-vehicles",64
"East Ayrshire","2012","road-vehicles",72
"East Dunbartonshire","2012","road-vehicles",40
"East Lothian","2012","road-vehicles",58
"East Renfrewshire","2012","road-vehicles",52
"Eilean Siar","2012","road-vehicles",13
"Falkirk","2012","road-vehicles",111
"Fife","2012","road-vehicles",183
"Glasgow City","2012","road-vehicles",260
"Highland","2012","road-vehicles",176
"Inverclyde","2012","road-vehicles",34
"Midlothian","2012","road-vehicles",45
"Moray","2012","road-vehicles",48
"North Ayrshire","2012","road-vehicles",51
"North Lanarkshire","2012","road-vehicles",234
"Orkney Islands","2012","road-vehicles",9
"Perth and Kinross","2012","road-vehicles",168
"Renfrewshire","2012","road-vehicles",99
"Scottish Borders","2012","road-vehicles",78
"Shetland Islands","2012","road-vehicles",12
"South Ayrshire","2012","road-vehicles",66
"South Lanarkshire","2012","road-vehicles",198
"Stirling","2012","road-vehicles",79
"West Dunbartonshire","2012","road-vehicles",43
"West Lothian","2012","road-vehicles",116
"Aberdeen City","2013","road-vehicles",91
"Aberdeenshire","2013","road-vehicles",185
"Angus","2013","road-vehicles",74
"Argyll and Bute","2013","road-vehicles",59
"City of Edinburgh","2013","road-vehicles",217
"Clackmannanshire","2013","road-vehicles",20
"Dumfries and Galloway","2013","road-vehicles",162
"Dundee City","2013","road-vehicles",63
"East Ayrshire","2013","road-vehicles",72
"East Dunbartonshire","2013","road-vehicles",39
"East Lothian","2013","road-vehicles",58
"East Renfrewshire","2013","road-vehicles",52
"Eilean Siar","2013","road-vehicles",13
"Falkirk","2013","road-vehicles",111
"Fife","2013","road-vehicles",183
"Glasgow City","2013","road-vehicles",260
"Highland","2013","road-vehicles",178
"Inverclyde","2013","road-vehicles",34
"Midlothian","2013","road-vehicles",44
"Moray","2013","road-vehicles",48
"North Ayrshire","2013","road-vehicles",50
"North Lanarkshire","2013","road-vehicles",230
"Orkney Islands","2013","road-vehicles",9
"Perth and Kinross","2013","road-vehicles",169
"Renfrewshire","2013","road-vehicles",99
"Scottish Borders","2013","road-vehicles",79
"Shetland Islands","2013","road-vehicles",12
"South Ayrshire","2013","road-vehicles",65
"South Lanarkshire","2013","road-vehicles",198
"Stirling","2013","road-vehicles",79
"West Dunbartonshire","2013","road-vehicles",43
"West Lothian","2013","road-vehicles",116
"Aberdeen City","2014","road-vehicles",93
"Aberdeenshire","2014","road-vehicles",190
"Angus","2014","road-vehicles",75
"Argyll and Bute","2014","road-vehicles",60
"City of Edinburgh","2014","road-vehicles",219
"Clackmannanshire","2014","road-vehicles",20
"Dumfries and Galloway","2014","road-vehicles",165
"Dundee City","2014","road-vehicles",63
"East Ayrshire","2014","road-vehicles",74
"East Dunbartonshire","2014","road-vehicles",40
"East Lothian","2014","road-vehicles",60
"East Renfrewshire","2014","road-vehicles",53
"Eilean Siar","2014","road-vehicles",13
"Falkirk","2014","road-vehicles",114
"Fife","2014","road-vehicles",187
"Glasgow City","2014","road-vehicles",261
"Highland","2014","road-vehicles",180
"Inverclyde","2014","road-vehicles",35
"Midlothian","2014","road-vehicles",46
"Moray","2014","road-vehicles",50
"North Ayrshire","2014","road-vehicles",51
"North Lanarkshire","2014","road-vehicles",234
"Orkney Islands","2014","road-vehicles",9
"Perth and Kinross","2014","road-vehicles",172
"Renfrewshire","2014","road-vehicles",101
"Scottish Borders","2014","road-vehicles",80
"Shetland Islands","2014","road-vehicles",13
"South Ayrshire","2014","road-vehicles",67
"South Lanarkshire","2014","road-vehicles",200
"Stirling","2014","road-vehicles",80
"West Dunbartonshire","2014","road-vehicles",44
"West Lothian","2014","road-vehicles",118
"Aberdeen City","2015","road-vehicles",92
"Aberdeenshire","2015","road-vehicles",191
"Angus","2015","road-vehicles",75
"Argyll and Bute","2015","road-vehicles",62
"City of Edinburgh","2015","road-vehicles",221
"Clackmannanshire","2015","road-vehicles",20
"Dumfries and Galloway","2015","road-vehicles",170
"Dundee City","2015","road-vehicles",62
"East Ayrshire","2015","road-vehicles",74
"East Dunbartonshire","2015","road-vehicles",40
"East Lothian","2015","road-vehicles",60
"East Renfrewshire","2015","road-vehicles",53
"Eilean Siar","2015","road-vehicles",13
"Falkirk","2015","road-vehicles",115
"Fife","2015","road-vehicles",186
"Glasgow City","2015","road-vehicles",257
"Highland","2015","road-vehicles",185
"Inverclyde","2015","road-vehicles",34
"Midlothian","2015","road-vehicles",45
"Moray","2015","road-vehicles",50
"North Ayrshire","2015","road-vehicles",51
"North Lanarkshire","2015","road-vehicles",227
"Orkney Islands","2015","road-vehicles",9
"Perth and Kinross","2015","road-vehicles",175
"Renfrewshire","2015","road-vehicles",102
"Scottish Borders","2015","road-vehicles",82
"Shetland Islands","2015","road-vehicles",13
"South Ayrshire","2015","road-vehicles",67
"South Lanarkshire","2015","road-vehicles",200
"Stirling","2015","road-vehicles",81
"West Dunbartonshire","2015","road-vehicles",44
"West Lothian","2015","road-vehicles",119
